Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Quiz_Score,Internal_Assessment,Final_Result
1001,2,68,45,50,48,46,Fail
1002,3,72,55,58,60,57,Pass
1003,5,88,76,80,78,79,Pass
1004,6,90,82,85,84,83,Pass
1005,1,60,38,42,40,41,Fail
1006,4,80,70,72,74,73,Pass
1007,7,95,91,90,92,91,Pass
1008,3,75,60,62,61,63,Pass
1009,2,65,48,50,49,47,Fail
1010,5,85,78,80,79,81,Pass
1011,6,92,88,90,89,91,Pass
1012,1,58,35,38,36,37,Fail
1013,4,82,72,74,73,75,Pass
1014,8,97,95,96,94,95,Pass
1015,3,70,56,58,57,59,Pass
1016,2,63,44,46,45,47,Fail
1017,5,87,80,82,81,83,Pass
1018,6,91,86,88,87,89,Pass
1019,4,79,69,70,71,72,Pass
1020,1,55,32,35,34,33,Fail
1021,7,96,93,94,95,94,Pass
1022,3,74,59,60,61,60,Pass
1023,2,66,47,48,49,46,Fail
1024,5,84,77,78,79,80,Pass
1025,6,90,84,86,85,87,Pass
1026,4,81,71,72,73,74,Pass
1027,2,62,41,43,42,44,Fail
1028,8,98,97,98,99,98,Pass
1029,3,76,63,64,65,66,Pass
1030,5,86,79,80,81,82,Pass
1031,1,57,36,38,37,39,Fail
1032,6,93,89,90,91,92,Pass
1033,7,94,92,93,94,95,Pass
1034,4,78,68,69,70,71,Pass
1035,2,64,46,47,48,49,Fail
1036,5,85,81,82,83,84,Pass
1037,3,73,58,59,60,61,Pass
1038,6,89,85,86,87,88,Pass
1039,2,61,40,42,41,43,Fail
1040,8,99,98,99,98,99,Pass
1041,4,83,74,75,76,77,Pass
1042,1,54,30,32,31,33,Fail
1043,5,87,82,83,84,85,Pass
1044,7,95,94,95,96,95,Pass
1045,3,71,57,58,59,60,Pass
1046,2,67,49,50,51,50,Fail
1047,6,91,87,88,89,90,Pass
1048,4,80,73,74,75,76,Pass
1049,5,88,83,84,85,86,Pass
1050,1,59,34,36,35,37,Fail
